OA LOC name,Gene name,Notes,,,,,
LOC780772,SDHD,,,,,,
LOC780463,RPL17,,,,,,
LOC780455,CASP14,,,,,,
LOC780442,SDHD,,,,,,
LOC494442,ANP32B,,,,,,
LOC494436,HSPA1B,,,,,,
LOC443475,C3,,,,,,
LOC443411,FXYD6,,,,,,
LOC443320,LYZ,,,,,,
LOC443297,RPS27A,,,,,,
LOC443259,PER2,,,,,,
LOC443240,CK1,,,,,,
LOC443162,LGALS14,,,,,,
LOC443104,,DISCONTINUED,,,,,
LOC106992043,,DISCONTINUED,,,,,
LOC106992042,AP2A2,,,,,,
LOC106992041,,DISCONTINUED,,,,,
LOC106992037,TERF2IP,pseudogene,,,,,
LOC106992034,DEPTOR,,,,,,
LOC106992023,UBFD1,,,,,,
LOC106992022,APOL3,like gene,,,,,
LOC106992016,TOM1,,,,,,
LOC106992010,CYP1A1,,,,,,
LOC106992007,DHX34,,,,,,
LOC106992003,,DISCONTINUED,,,,,
LOC106991999,,DISCONTINUED,,,,,
LOC106991991,,DISCONTINUED,,,,,
LOC106991985,,DISCONTINUED,,,,,
LOC106991952,,DISCONTINUED,,,,,
LOC106991949,,DISCONTINUED,,,,,
LOC106991947,,DISCONTINUED,,,,,
LOC106991942,,DISCONTINUED,,,,,
LOC106991922,PRKAR1B,,,,,,
LOC106991919,LOC106991919,,,,,,
LOC106991918,LOC106991918,,,,,,
LOC106991915,,DISCONTINUED,,,,,
LOC106991907,PAM16,,,,,,
LOC106991905,SRRM2,,,,,,
LOC106991894,BUD31,,,,,,
LOC106991889,TAOK2,,,,,,
LOC106991883,LOC106991883,,,,,,
LOC106991857,AFAP1L2,,,,,,
LOC106991849,,DISCONTINUED,,,,,
LOC106991842,SPTBN2,,,,,,
LOC106991840,COX8A,,,,,,
LOC106991838,EI24,,,,,,
LOC106991833,,DISCONTINUED,,,,,
LOC106991829,MUC5AC,Like gene,,,,,
LOC106991828,MUC5AC,Like gene,,,,,
LOC106991824,ANKRD13D,,,,,,
LOC106991822,,DISCONTINUED,,,,,
LOC106991811,LOC106991811,,,,,,
LOC106991804,ARMC12,,,,,,
LOC106991803,LOC106991803,,,,,,
LOC106991791,,DISCONTINUED,,,,,
LOC106991788,PLXNA1,,,,,,
LOC106991787,,DISCONTINUED,,,,,
LOC106991786,TMCC1,,,,,,
LOC106991783,LOC106991783,,,,,,
