Gene Symbol,Number of Occurrences
AHCY,2
ALDH3B1,1
AOC3,1
ATP5MK,1
C3H12orf74,1
CA13,1
CA2,1
CCDC163,1
CCM2L,2
COLGALT1,1
DCDC1,2
DDX11,1
DST,1
EVC,1
FAM120A,1
GEMIN7,2
H1-6,1
HMGB1,1
ISCA1,1
LCOR,1
LOC101102614,1
LOC101105316,1
LOC101106702,1
LOC101111099,1
LOC101111101,1
LOC101111106,1
LOC101111156,1
LOC101111166,1
LOC101111180,1
LOC101111215,1
LOC101111217,1
LOC101111229,1
LOC101111233,1
LOC101111245,1
LOC101111247,1
LOC101111266,1
LOC101111313,1
LOC101111335,1
LOC101111337,1
LOC101111345,1
LOC101111367,1
LOC101111388,1
LOC101111397,1
LOC101111409,1
LOC101111481,1
LOC101111528,1
LOC101111596,1
LOC101111607,1
LOC101111669,1
LOC101111732,1
LOC101111733,1
LOC101111847,1
LOC101111911,1
LOC101111915,1
LOC101111922,1
LOC101111946,1
LOC101111968,1
LOC101112013,1
LOC101112038,1
LOC101112076,1
LOC101112084,1
LOC101112102,1
LOC101112109,1
LOC101112122,1
LOC101112162,1
LOC101112166,1
LOC101112168,1
LOC101112223,1
LOC101112287,1
LOC101112291,1
LOC101112298,1
LOC101112306,1
LOC101112318,1
LOC101112330,1
LOC101112339,1
LOC101112384,1
LOC101112460,1
LOC101112471,1
LOC101112474,1
LOC101112480,1
LOC101112491,1
LOC101112520,1
LOC101112526,1
LOC101112543,1
LOC101112563,1
LOC101112584,1
LOC101112585,1
LOC101112606,1
LOC101112612,1
LOC101112623,1
LOC101112635,1
LOC101112639,1
LOC101112694,1
LOC101112784,1
LOC101112822,1
LOC101112832,1
LOC101112843,1
LOC101112864,1
LOC101112891,1
LOC101112959,1
LOC101112974,1
LOC101112981,1
LOC101113001,1
LOC101113073,1
LOC101113086,1
LOC101113111,1
LOC101113135,1
LOC101113195,1
LOC101113211,1
LOC101113217,1
LOC101113219,1
LOC101113221,1
LOC101113241,1
LOC101113252,1
LOC101113259,1
LOC101113264,1
LOC101113344,1
LOC101113398,1
LOC101113476,1
LOC101113508,1
LOC101113516,1
LOC101113523,1
LOC101113531,1
LOC101113537,1
LOC101113571,1
LOC101113583,1
LOC101113599,1
LOC101113604,1
LOC101113619,1
LOC101113636,1
LOC101113650,1
LOC101113705,1
LOC101113728,1
LOC101113741,1
LOC101113745,1
LOC101113750,1
LOC101113775,1
LOC101113786,1
LOC101113831,1
LOC101113832,1
LOC101113965,1
LOC101114018,1
LOC101114032,1
LOC101114033,1
LOC101114058,1
LOC101114063,1
LOC101114075,1
LOC101114082,1
LOC101114089,1
LOC101114092,1
LOC101114191,1
LOC101114216,1
LOC101114226,1
LOC101114285,1
LOC101114294,1
LOC101114301,1
LOC101114310,1
LOC101114319,1
LOC101114349,1
LOC101114379,1
LOC101114382,1
LOC101114408,1
LOC101114419,1
LOC101114499,1
LOC101114535,1
LOC101114575,1
LOC101114579,1
LOC101114586,1
LOC101114597,1
LOC101115761,1
LOC101115775,1
LOC101118125,1
LOC101120064,1
LOC101120582,1
LOC101121500,1
LOC101123159,1
LOC105603287,1
LOC105603299,1
LOC105603639,1
LOC105604828,1
LOC105604829,1
LOC105604830,1
LOC105605155,1
LOC105605832,1
LOC105605918,1
LOC105606000,1
LOC105606850,1
LOC105612794,1
LOC105612796,1
LOC105613403,1
LOC105614417,1
LOC105614856,1
LOC105615982,1
LOC105616111,1
LOC106990174,1
LOC106990925,1
LOC106991242,1
LOC106991709,1
LOC106991801,1
LOC114108753,1
LOC114108756,1
LOC114108806,1
LOC114108992,1
LOC114111374,1
LOC114112094,1
LOC114113152,1
LOC114117982,1
LOC114118048,1
LOC114118050,1
LOC114118056,1
LOC114118098,1
MAP3K20,1
MTA1,1
NAPRT,1
NRBP2,1
PALM2,1
PALM2AKAP2,1
PLEC,1
PLEKHG7,1
POLR1D,1
PRAG1,1
PRDM11,1
RPUSD1,1
SCNM1,1
SEC14L3,1
TEX52,1
TMBIM7P,1
TMEM225B,1
ZNF10,1
ZNF250,1
ZNF268,1
ZNF613,1
ZNF782,1
