GeneID,Gene Symbol,Gene Full Name,Discontinued?
101112245,AHCY,adenosylhomocysteinase,
101112500,AHCY,adenosylhomocysteinase,
101112687,ALDH3B1,aldehyde dehydrogenase 3 family member B1,
101112335,AOC3,amine oxidase copper containing 3,
101111410,ATP5MK,ATP synthase membrane subunit k,
101105815,C3H12orf74,"chromosome 3 open reading frame, human C12orf74",
101113860,CA13,carbonic anhydrase 13,
101113341,CA2,carbonic anhydrase 2,
101111334,CCDC163,coiled-coil domain containing 163,
101112919,CCM2L,CCM2 like scaffold protein,
106990144,CCM2L,CCM2 like scaffold protein,
101114107,COLGALT1,collagen beta(1-O)galactosyltransferase 1,
101111830,DCDC1,doublecortin domain containing 1,
101112087,DCDC1,doublecortin domain containing 1,
101114265,DDX11,DEAD/H-box helicase 11,
101113020,DST,dystonin,
101113496,EVC,EvC ciliary complex subunit 1,
101111349,FAM120A,family with sequence similarity 120A,
101113785,GEMIN7,gem nuclear organelle associated protein 7,
105601915,GEMIN7,gem nuclear organelle associated protein 7,
101112356,H1-6,"H1.6 linker histone, cluster member",
101112071,HMGB1,high mobility group box 1,
101114490,ISCA1,iron-sulfur cluster assembly 1,
101112525,LCOR,ligand dependent nuclear receptor corepressor,
101102614,LOC101102614,zinc finger protein 286A-like,
101105316,LOC101105316,granzyme H-like,
101106702,LOC101106702,plasma membrane calcium-transporting ATPase 4-like,
101111099,LOC101111099,RE1-silencing transcription factor-like,
101111101,LOC101111101,cytochrome c-like,
101111106,LOC101111106,histone H3.3C,
101111156,LOC101111156,phosphoinositide 3-kinase regulatory subunit 4,
101111166,LOC101111166,carbonyl reductase family member 4,
101111180,LOC101111180,60S ribosomal protein L7-like,
101111215,LOC101111215,malignant T-cell-amplified sequence 1-like,
101111217,LOC101111217,recombining binding protein suppressor of hairless-like protein,
101111229,LOC101111229,elongation factor 1-alpha 1-like,
101111233,LOC101111233,ribosome production factor 2 homolog,
101111245,LOC101111245,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,
101111247,LOC101111247,nodal modulator 1,
101111266,LOC101111266,calcium homeostasis modulator protein 6-like,
